date,sku_id,units_sold,year,month,day,day_of_week,day_of_year,is_weekend,is_back_to_school,is_holiday_season,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_30
2022-03-24,MBA13,299,2022,3,24,3,83,0,0,0,265.0,279.0,265.0,232.42857142857142,239.66666666666666
2022-03-25,MBA13,238,2022,3,25,4,84,0,0,0,299.0,256.0,234.0,235.28571428571428,241.86666666666667
2022-03-26,MBA13,177,2022,3,26,5,85,1,0,0,238.0,189.0,204.0,232.71428571428572,240.73333333333332
2022-03-27,MBA13,184,2022,3,27,6,86,1,0,0,177.0,198.0,232.0,231.0,237.16666666666666
2022-03-28,MBA13,282,2022,3,28,0,87,0,0,0,184.0,193.0,253.0,229.0,233.93333333333334
2022-03-29,MBA13,264,2022,3,29,1,88,0,0,0,282.0,247.0,301.0,241.71428571428572,237.46666666666667
2022-03-30,MBA13,238,2022,3,30,2,89,0,0,0,264.0,265.0,174.0,244.14285714285714,240.0
2022-03-31,MBA13,270,2022,3,31,3,90,0,0,0,238.0,299.0,279.0,240.28571428571428,239.16666666666666
2022-04-01,MBA13,257,2022,4,1,4,91,0,0,0,270.0,238.0,256.0,236.14285714285714,238.73333333333332
2022-04-02,MBA13,219,2022,4,2,5,92,1,0,0,257.0,177.0,189.0,238.85714285714286,239.33333333333334
2022-04-03,MBA13,180,2022,4,3,6,93,1,0,0,219.0,184.0,198.0,244.85714285714286,238.36666666666667
2022-04-04,MBA13,244,2022,4,4,0,94,0,0,0,180.0,282.0,193.0,244.28571428571428,237.03333333333333
2022-04-05,MBA13,242,2022,4,5,1,95,0,0,0,244.0,264.0,247.0,238.85714285714286,239.56666666666666
2022-04-06,MBA13,210,2022,4,6,2,96,0,0,0,242.0,238.0,265.0,235.71428571428572,240.46666666666667
2022-04-07,MBA13,263,2022,4,7,3,97,0,0,0,210.0,270.0,299.0,231.71428571428572,237.63333333333333
2022-04-08,MBA13,262,2022,4,8,4,98,0,0,0,263.0,257.0,238.0,230.71428571428572,238.03333333333333
2022-04-09,MBA13,197,2022,4,9,5,99,1,0,0,262.0,219.0,177.0,231.42857142857142,237.3
2022-04-10,MBA13,191,2022,4,10,6,100,1,0,0,197.0,180.0,184.0,228.28571428571428,235.03333333333333
2022-04-11,MBA13,211,2022,4,11,0,101,0,0,0,191.0,244.0,282.0,229.85714285714286,233.6
2022-04-12,MBA13,242,2022,4,12,1,102,0,0,0,211.0,242.0,264.0,225.14285714285714,233.83333333333334
2022-04-13,MBA13,244,2022,4,13,2,103,0,0,0,242.0,210.0,238.0,225.14285714285714,234.16666666666666
2022-04-14,MBA13,230,2022,4,14,3,104,0,0,0,244.0,263.0,270.0,230.0,233.86666666666667
2022-04-15,MBA13,250,2022,4,15,4,105,0,0,0,230.0,262.0,257.0,225.28571428571428,231.5
2022-04-16,MBA13,206,2022,4,16,5,106,1,0,0,250.0,197.0,219.0,223.57142857142858,234.03333333333333
2022-04-17,MBA13,241,2022,4,17,6,107,1,0,0,206.0,191.0,180.0,224.85714285714286,231.6
2022-04-18,MBA13,260,2022,4,18,0,108,0,0,0,241.0,211.0,244.0,232.0,231.1
2022-04-19,MBA13,262,2022,4,19,1,109,0,0,0,260.0,242.0,242.0,239.0,233.46666666666667
2022-04-20,MBA13,252,2022,4,20,2,110,0,0,0,262.0,244.0,210.0,241.85714285714286,235.6
2022-04-21,MBA13,196,2022,4,21,3,111,0,0,0,252.0,230.0,263.0,243.0,237.56666666666666
2022-04-22,MBA13,254,2022,4,22,4,112,0,0,0,196.0,250.0,262.0,238.14285714285714,235.86666666666667
2022-04-23,MBA13,198,2022,4,23,5,113,1,0,0,254.0,206.0,197.0,238.71428571428572,235.5
2022-04-24,MBA13,255,2022,4,24,6,114,1,0,0,198.0,241.0,191.0,237.57142857142858,232.13333333333333
2022-04-25,MBA13,249,2022,4,25,0,115,0,0,0,255.0,260.0,211.0,239.57142857142858,232.7
2022-04-26,MBA13,264,2022,4,26,1,116,0,0,0,249.0,262.0,242.0,238.0,235.1
2022-04-27,MBA13,254,2022,4,27,2,117,0,0,0,264.0,252.0,244.0,238.28571428571428,237.76666666666668
2022-04-28,MBA13,219,2022,4,28,3,118,0,0,0,254.0,196.0,230.0,238.57142857142858,236.83333333333334
2022-04-29,MBA13,290,2022,4,29,4,119,0,0,0,219.0,254.0,250.0,241.85714285714286,235.33333333333334
2022-04-30,MBA13,215,2022,4,30,5,120,1,0,0,290.0,198.0,206.0,247.0,237.06666666666666
2022-05-01,MBA13,216,2022,5,1,6,121,1,0,0,215.0,255.0,241.0,249.42857142857142,235.23333333333332
2022-05-02,MBA13,227,2022,5,2,0,122,0,0,0,216.0,249.0,260.0,243.85714285714286,233.86666666666667
2022-05-03,MBA13,298,2022,5,3,1,123,0,0,0,227.0,264.0,262.0,240.71428571428572,234.13333333333333
2022-05-04,MBA13,212,2022,5,4,2,124,0,0,0,298.0,254.0,252.0,245.57142857142858,238.06666666666666
2022-05-05,MBA13,273,2022,5,5,3,125,0,0,0,212.0,219.0,196.0,239.57142857142858,237.0
2022-05-06,MBA13,322,2022,5,6,4,126,0,0,0,273.0,290.0,254.0,247.28571428571428,238.03333333333333
2022-05-07,MBA13,174,2022,5,7,5,127,1,0,0,322.0,215.0,198.0,251.85714285714286,241.76666666666668
2022-05-08,MBA13,184,2022,5,8,6,128,1,0,0,174.0,216.0,255.0,246.0,238.8
2022-05-09,MBA13,259,2022,5,9,0,129,0,0,0,184.0,227.0,249.0,241.42857142857142,236.2
2022-05-10,MBA13,240,2022,5,10,1,130,0,0,0,259.0,298.0,264.0,246.0,238.26666666666668
2022-05-11,MBA13,208,2022,5,11,2,131,0,0,0,240.0,212.0,254.0,237.71428571428572,239.9
2022-05-12,MBA13,258,2022,5,12,3,132,0,0,0,208.0,273.0,219.0,237.14285714285714,239.8
2022-05-13,MBA13,224,2022,5,13,4,133,0,0,0,258.0,322.0,290.0,235.0,240.33333333333334
2022-05-14,MBA13,210,2022,5,14,5,134,1,0,0,224.0,174.0,215.0,221.0,239.66666666666666
2022-05-15,MBA13,177,2022,5,15,6,135,1,0,0,210.0,184.0,216.0,226.14285714285714,239.0
2022-05-16,MBA13,305,2022,5,16,0,136,0,0,0,177.0,259.0,227.0,225.14285714285714,236.56666666666666
2022-05-17,MBA13,234,2022,5,17,1,137,0,0,0,305.0,240.0,298.0,231.71428571428572,239.86666666666667
2022-05-18,MBA13,249,2022,5,18,2,138,0,0,0,234.0,208.0,212.0,230.85714285714286,239.63333333333333
2022-05-19,MBA13,285,2022,5,19,3,139,0,0,0,249.0,258.0,273.0,236.71428571428572,239.26666666666668
2022-05-20,MBA13,222,2022,5,20,4,140,0,0,0,285.0,224.0,322.0,240.57142857142858,240.03333333333333
2022-05-21,MBA13,208,2022,5,21,5,141,1,0,0,222.0,210.0,174.0,240.28571428571428,239.03333333333333
2022-05-22,MBA13,235,2022,5,22,6,142,1,0,0,208.0,177.0,184.0,240.0,239.43333333333334
2022-05-23,MBA13,214,2022,5,23,0,143,0,0,0,235.0,305.0,259.0,248.28571428571428,238.8
2022-05-24,MBA13,272,2022,5,24,1,144,0,0,0,214.0,234.0,240.0,235.28571428571428,239.33333333333334
2022-05-25,MBA13,276,2022,5,25,2,145,0,0,0,272.0,249.0,208.0,240.71428571428572,239.9
2022-05-26,MBA13,295,2022,5,26,3,146,0,0,0,276.0,285.0,258.0,244.57142857142858,240.8
2022-05-27,MBA13,232,2022,5,27,4,147,0,0,0,295.0,222.0,224.0,246.0,241.83333333333334
2022-05-28,MBA13,178,2022,5,28,5,148,1,0,0,232.0,208.0,210.0,247.42857142857142,241.1
2022-05-29,MBA13,227,2022,5,29,6,149,1,0,0,178.0,235.0,177.0,243.14285714285714,239.73333333333332
2022-05-30,MBA13,289,2022,5,30,0,150,0,0,0,227.0,214.0,305.0,242.0,237.63333333333333
2022-05-31,MBA13,290,2022,5,31,1,151,0,0,0,289.0,272.0,234.0,252.71428571428572,240.1
2022-06-01,MBA13,295,2022,6,1,2,152,0,0,0,290.0,276.0,249.0,255.28571428571428,242.56666666666666
2022-06-02,MBA13,263,2022,6,2,3,153,0,0,0,295.0,295.0,285.0,258.0,244.83333333333334
2022-06-03,MBA13,296,2022,6,3,4,154,0,0,0,263.0,232.0,222.0,253.42857142857142,243.66666666666666
2022-06-04,MBA13,232,2022,6,4,5,155,1,0,0,296.0,178.0,208.0,262.57142857142856,246.46666666666667
2022-06-05,MBA13,206,2022,6,5,6,156,1,0,0,232.0,227.0,235.0,270.2857142857143,245.1
2022-06-06,MBA13,358,2022,6,6,0,157,0,0,0,206.0,289.0,214.0,267.2857142857143,241.23333333333332
2022-06-07,MBA13,310,2022,6,7,1,158,0,0,0,358.0,290.0,272.0,277.14285714285717,247.36666666666667
2022-06-08,MBA13,252,2022,6,8,2,159,0,0,0,310.0,295.0,276.0,280.0,251.56666666666666
2022-06-09,MBA13,318,2022,6,9,3,160,0,0,0,252.0,263.0,295.0,273.85714285714283,251.33333333333334
2022-06-10,MBA13,260,2022,6,10,4,161,0,0,0,318.0,296.0,232.0,281.7142857142857,253.93333333333334
2022-06-11,MBA13,248,2022,6,11,5,162,1,0,0,260.0,232.0,178.0,276.57142857142856,255.66666666666666
2022-06-12,MBA13,258,2022,6,12,6,163,1,0,0,248.0,206.0,227.0,278.85714285714283,255.33333333333334
2022-06-13,MBA13,263,2022,6,13,0,164,0,0,0,258.0,358.0,289.0,286.2857142857143,256.46666666666664
2022-06-14,MBA13,324,2022,6,14,1,165,0,0,0,263.0,310.0,290.0,272.7142857142857,258.23333333333335
2022-06-15,MBA13,303,2022,6,15,2,166,0,0,0,324.0,252.0,295.0,274.7142857142857,263.1333333333333
2022-06-16,MBA13,315,2022,6,16,3,167,0,0,0,303.0,318.0,263.0,282.0,263.06666666666666
2022-06-17,MBA13,349,2022,6,17,4,168,0,0,0,315.0,260.0,296.0,281.57142857142856,265.76666666666665
2022-06-18,MBA13,212,2022,6,18,5,169,1,0,0,349.0,248.0,232.0,294.2857142857143,269.1
2022-06-19,MBA13,197,2022,6,19,6,170,1,0,0,212.0,258.0,206.0,289.14285714285717,266.6666666666667
2022-06-20,MBA13,248,2022,6,20,0,171,0,0,0,197.0,263.0,358.0,280.42857142857144,265.8333333333333
2022-06-21,MBA13,248,2022,6,21,1,172,0,0,0,248.0,324.0,310.0,278.2857142857143,267.1666666666667
2022-06-22,MBA13,271,2022,6,22,2,173,0,0,0,248.0,303.0,252.0,267.42857142857144,267.6
2022-06-23,MBA13,282,2022,6,23,3,174,0,0,0,271.0,315.0,318.0,262.85714285714283,269.5
2022-06-24,MBA13,278,2022,6,24,4,175,0,0,0,282.0,349.0,260.0,258.14285714285717,269.8333333333333
2022-06-25,MBA13,227,2022,6,25,5,176,1,0,0,278.0,212.0,248.0,248.0,269.9
2022-06-26,MBA13,206,2022,6,26,6,177,1,0,0,227.0,197.0,258.0,250.14285714285714,267.6333333333333
2022-06-27,MBA13,311,2022,6,27,0,178,0,0,0,206.0,248.0,263.0,251.42857142857142,266.76666666666665
2022-06-28,MBA13,255,2022,6,28,1,179,0,0,0,311.0,248.0,324.0,260.42857142857144,271.2
2022-06-29,MBA13,349,2022,6,29,2,180,0,0,0,255.0,271.0,303.0,261.42857142857144,272.1333333333333
2022-06-30,MBA13,282,2022,6,30,3,181,0,0,0,349.0,282.0,315.0,272.57142857142856,274.1333333333333
2022-07-01,MBA13,234,2022,7,1,4,182,0,0,0,282.0,278.0,349.0,272.57142857142856,273.8666666666667
2022-07-02,MBA13,176,2022,7,2,5,183,1,0,0,234.0,227.0,212.0,266.2857142857143,271.8333333333333
2022-07-03,MBA13,213,2022,7,3,6,184,1,0,0,176.0,206.0,197.0,259.0,268.93333333333334
2022-07-04,MBA13,253,2022,7,4,0,185,0,0,0,213.0,311.0,248.0,260.0,266.1666666666667
2022-07-05,MBA13,283,2022,7,5,1,186,0,0,0,253.0,255.0,248.0,251.71428571428572,266.8666666666667
2022-07-06,MBA13,275,2022,7,6,2,187,0,0,0,283.0,349.0,271.0,255.71428571428572,269.43333333333334
2022-07-07,MBA13,258,2022,7,7,3,188,0,0,0,275.0,282.0,282.0,245.14285714285714,266.6666666666667
2022-07-08,MBA13,234,2022,7,8,4,189,0,0,0,258.0,234.0,278.0,241.71428571428572,264.93333333333334
2022-07-09,MBA13,165,2022,7,9,5,190,1,0,0,234.0,176.0,227.0,241.71428571428572,264.3333333333333
2022-07-10,MBA13,191,2022,7,10,6,191,1,0,0,165.0,213.0,206.0,240.14285714285714,259.23333333333335
2022-07-11,MBA13,289,2022,7,11,0,192,0,0,0,191.0,253.0,311.0,237.0,256.93333333333334
2022-07-12,MBA13,270,2022,7,12,1,193,0,0,0,289.0,283.0,255.0,242.14285714285714,258.3
2022-07-13,MBA13,224,2022,7,13,2,194,0,0,0,270.0,275.0,349.0,240.28571428571428,258.7
2022-07-14,MBA13,270,2022,7,14,3,195,0,0,0,224.0,258.0,282.0,233.0,257.4
2022-07-15,MBA13,277,2022,7,15,4,196,0,0,0,270.0,234.0,234.0,234.71428571428572,255.6
2022-07-16,MBA13,184,2022,7,16,5,197,1,0,0,277.0,165.0,176.0,240.85714285714286,254.73333333333332
2022-07-17,MBA13,210,2022,7,17,6,198,1,0,0,184.0,191.0,213.0,243.57142857142858,250.36666666666667
2022-07-18,MBA13,270,2022,7,18,0,199,0,0,0,210.0,289.0,253.0,246.28571428571428,245.73333333333332
2022-07-19,MBA13,232,2022,7,19,1,200,0,0,0,270.0,270.0,283.0,243.57142857142858,247.66666666666666
2022-07-20,MBA13,282,2022,7,20,2,201,0,0,0,232.0,224.0,275.0,238.14285714285714,248.83333333333334
2022-07-21,MBA13,290,2022,7,21,3,202,0,0,0,282.0,270.0,258.0,246.42857142857142,249.96666666666667
2022-07-22,MBA13,309,2022,7,22,4,203,0,0,0,290.0,277.0,234.0,249.28571428571428,251.36666666666667
2022-07-23,MBA13,239,2022,7,23,5,204,1,0,0,309.0,184.0,165.0,253.85714285714286,252.63333333333333
2022-07-24,MBA13,178,2022,7,24,6,205,1,0,0,239.0,210.0,191.0,261.7142857142857,251.2
2022-07-25,MBA13,247,2022,7,25,0,206,0,0,0,178.0,270.0,289.0,257.14285714285717,247.86666666666667
2022-07-26,MBA13,298,2022,7,26,1,207,0,0,0,247.0,232.0,270.0,253.85714285714286,248.53333333333333
2022-07-27,MBA13,300,2022,7,27,2,208,0,0,0,298.0,282.0,224.0,263.2857142857143,251.6
2022-07-28,MBA13,302,2022,7,28,3,209,0,0,0,300.0,290.0,270.0,265.85714285714283,251.23333333333332
2022-07-29,MBA13,419,2022,7,29,4,210,0,0,0,302.0,309.0,277.0,267.57142857142856,252.8
2022-07-30,MBA13,239,2022,7,30,5,211,1,0,0,419.0,239.0,184.0,283.2857142857143,255.13333333333333
2022-07-31,MBA13,256,2022,7,31,6,212,1,0,0,239.0,178.0,210.0,283.2857142857143,253.7
2022-08-01,MBA13,327,2022,8,1,0,213,0,1,0,256.0,247.0,270.0,294.42857142857144,254.43333333333334
2022-08-02,MBA13,319,2022,8,2,1,214,0,1,0,327.0,298.0,232.0,305.85714285714283,259.46666666666664
2022-08-03,MBA13,287,2022,8,3,2,215,0,1,0,319.0,300.0,282.0,308.85714285714283,263.0
2022-08-04,MBA13,329,2022,8,4,3,216,0,1,0,287.0,302.0,290.0,307.0,264.1333333333333
2022-08-05,MBA13,276,2022,8,5,4,217,0,1,0,329.0,419.0,309.0,310.85714285714283,265.6666666666667
2022-08-06,MBA13,230,2022,8,6,5,218,1,1,0,276.0,239.0,239.0,290.42857142857144,265.7
2022-08-07,MBA13,225,2022,8,7,6,219,1,1,0,230.0,256.0,178.0,289.14285714285717,264.76666666666665
2022-08-08,MBA13,315,2022,8,8,0,220,0,1,0,225.0,327.0,247.0,284.7142857142857,264.46666666666664
2022-08-09,MBA13,403,2022,8,9,1,221,0,1,0,315.0,319.0,298.0,283.0,269.46666666666664
2022-08-10,MBA13,247,2022,8,10,2,222,0,1,0,403.0,287.0,300.0,295.0,276.53333333333336
2022-08-11,MBA13,347,2022,8,11,3,223,0,1,0,247.0,329.0,302.0,289.2857142857143,275.1333333333333
2022-08-12,MBA13,261,2022,8,12,4,224,0,1,0,347.0,276.0,419.0,291.85714285714283,277.7
2022-08-13,MBA13,238,2022,8,13,5,225,1,1,0,261.0,230.0,239.0,289.7142857142857,278.93333333333334
2022-08-14,MBA13,287,2022,8,14,6,226,1,1,0,238.0,225.0,256.0,290.85714285714283,277.8666666666667
2022-08-15,MBA13,333,2022,8,15,0,227,0,1,0,287.0,315.0,327.0,299.7142857142857,278.2
2022-08-16,MBA13,290,2022,8,16,1,228,0,1,0,333.0,403.0,319.0,302.2857142857143,283.1666666666667
2022-08-17,MBA13,307,2022,8,17,2,229,0,1,0,290.0,247.0,287.0,286.14285714285717,285.8333333333333
2022-08-18,MBA13,365,2022,8,18,3,230,0,1,0,307.0,347.0,329.0,294.7142857142857,287.06666666666666
2022-08-19,MBA13,310,2022,8,19,4,231,0,1,0,365.0,261.0,276.0,297.2857142857143,291.5
2022-08-20,MBA13,271,2022,8,20,5,232,1,1,0,310.0,238.0,230.0,304.2857142857143,292.43333333333334
2022-08-21,MBA13,266,2022,8,21,6,233,1,1,0,271.0,287.0,225.0,309.0,291.8
2022-08-22,MBA13,317,2022,8,22,0,234,0,1,0,266.0,333.0,315.0,306.0,290.3666666666667
2022-08-23,MBA13,435,2022,8,23,1,235,0,1,0,317.0,290.0,403.0,303.7142857142857,292.96666666666664
2022-08-24,MBA13,373,2022,8,24,2,236,0,1,0,435.0,307.0,247.0,324.42857142857144,301.53333333333336
2022-08-25,MBA13,263,2022,8,25,3,237,0,1,0,373.0,365.0,347.0,333.85714285714283,305.73333333333335
2022-08-26,MBA13,356,2022,8,26,4,238,0,1,0,263.0,310.0,261.0,319.2857142857143,304.56666666666666
2022-08-27,MBA13,248,2022,8,27,5,239,1,1,0,356.0,271.0,238.0,325.85714285714283,306.43333333333334
2022-08-28,MBA13,297,2022,8,28,6,240,1,1,0,248.0,266.0,287.0,322.57142857142856,304.6333333333333
2022-08-29,MBA13,315,2022,8,29,0,241,0,1,0,297.0,317.0,333.0,327.0,300.56666666666666
2022-08-30,MBA13,343,2022,8,30,1,242,0,1,0,315.0,435.0,290.0,326.7142857142857,303.1
2022-08-31,MBA13,369,2022,8,31,2,243,0,1,0,343.0,373.0,307.0,313.57142857142856,306.0
2022-09-01,MBA13,383,2022,9,1,3,244,0,1,0,369.0,263.0,365.0,313.0,307.4
2022-09-02,MBA13,296,2022,9,2,4,245,0,1,0,383.0,356.0,310.0,330.14285714285717,309.53333333333336
2022-09-03,MBA13,256,2022,9,3,5,246,1,1,0,296.0,248.0,271.0,321.57142857142856,309.8333333333333
2022-09-04,MBA13,250,2022,9,4,6,247,1,1,0,256.0,297.0,266.0,322.7142857142857,307.4
2022-09-05,MBA13,315,2022,9,5,0,248,0,1,0,250.0,315.0,317.0,316.0,306.53333333333336
2022-09-06,MBA13,412,2022,9,6,1,249,0,1,0,315.0,343.0,435.0,316.0,309.3666666666667
2022-09-07,MBA13,355,2022,9,7,2,250,0,1,0,412.0,369.0,373.0,325.85714285714283,315.6
2022-09-08,MBA13,285,2022,9,8,3,251,0,1,0,355.0,383.0,263.0,323.85714285714283,316.93333333333334
2022-09-09,MBA13,371,2022,9,9,4,252,0,1,0,285.0,296.0,356.0,309.85714285714283,313.0
2022-09-10,MBA13,322,2022,9,10,5,253,1,1,0,371.0,256.0,248.0,320.57142857142856,317.1333333333333
2022-09-11,MBA13,286,2022,9,11,6,254,1,1,0,322.0,250.0,297.0,330.0,316.3
2022-09-12,MBA13,267,2022,9,12,0,255,0,1,0,286.0,315.0,315.0,335.14285714285717,317.1333333333333
2022-09-13,MBA13,306,2022,9,13,1,256,0,1,0,267.0,412.0,343.0,328.2857142857143,318.1
2022-09-14,MBA13,371,2022,9,14,2,257,0,1,0,306.0,355.0,369.0,313.14285714285717,318.73333333333335
2022-09-15,MBA13,292,2022,9,15,3,258,0,1,0,371.0,285.0,383.0,315.42857142857144,320.0
2022-09-16,MBA13,333,2022,9,16,4,259,0,1,0,292.0,371.0,296.0,316.42857142857144,320.06666666666666
2022-09-17,MBA13,265,2022,9,17,5,260,1,1,0,333.0,322.0,256.0,311.0,320.93333333333334
2022-09-18,MBA13,214,2022,9,18,6,261,1,1,0,265.0,286.0,250.0,302.85714285714283,317.6
2022-09-19,MBA13,306,2022,9,19,0,262,0,1,0,214.0,267.0,315.0,292.57142857142856,314.4
2022-09-20,MBA13,187,2022,9,20,1,263,0,1,0,306.0,306.0,412.0,298.14285714285717,315.56666666666666
2022-09-21,MBA13,266,2022,9,21,2,264,0,1,0,187.0,371.0,355.0,281.14285714285717,312.93333333333334
2022-09-22,MBA13,291,2022,9,22,3,265,0,1,0,266.0,292.0,285.0,266.14285714285717,311.23333333333335
2022-09-23,MBA13,253,2022,9,23,4,266,0,1,0,291.0,333.0,371.0,266.0,306.43333333333334
2022-09-24,MBA13,273,2022,9,24,5,267,1,1,0,253.0,265.0,322.0,254.57142857142858,302.43333333333334
2022-09-25,MBA13,188,2022,9,25,6,268,1,1,0,273.0,214.0,286.0,255.71428571428572,302.76666666666665
2022-09-26,MBA13,275,2022,9,26,0,269,0,1,0,188.0,306.0,267.0,252.0,297.1666666666667
2022-09-27,MBA13,293,2022,9,27,1,270,0,1,0,275.0,187.0,306.0,247.57142857142858,298.06666666666666
2022-09-28,MBA13,336,2022,9,28,2,271,0,1,0,293.0,266.0,371.0,262.7142857142857,297.93333333333334
